# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
5.303453999999999668e-01 5.182982999999999896e-01 8.366120063257308226e-02 9.702070999999999890e-01 2.097121000000000207e-09 -5.226762000000000075e-02 5.289064000000000265e-02 3.000000000000000000e+00 -5.635987000000000080e+03
4.054174999999999862e-01 5.851196000000000730e-01 6.719315236076336961e-02 9.766742999999999952e-01 2.109132999999999855e-09 -2.985994000000000148e-02 6.652302000000000215e-02 1.000000000000000000e+00 -5.637595999999999549e+03
4.598151999999999795e-01 5.494018999999999986e-01 7.531564951002681085e-02 9.796544999999999837e-01 2.230292999999999879e-09 -4.194588999999999956e-02 8.972143999999999953e-02 9.000000000000000000e+00 -5.638735999999999876e+03
4.252486999999999795e-01 5.704711999999999561e-01 6.950535093080044413e-02 9.776650999999999536e-01 2.172349999999999845e-09 -3.385573000000000055e-02 7.481245999999999730e-02 1.000000000000000000e+00 -5.635162999999999556e+03
6.704480999999999913e-01 4.543578999999999812e-01 1.106356721457759790e-01 9.813089000000000395e-01 2.120472000000000037e-09 -1.012726999999999933e-01 5.958129999999999676e-02 3.000000000000000000e+00 -5.638094000000000051e+03
4.891893999999999965e-01 5.398070999999999842e-01 7.724403130743576207e-02 9.689149000000000234e-01 2.024875999999999698e-09 -4.187975000000000031e-02 4.035248000000000307e-02 1.000000000000000000e+00 -5.635885000000000218e+03
4.168675000000000019e-01 5.854247999999999674e-01 6.477835468387130313e-02 9.621045999999999765e-01 2.119416999999999982e-09 -2.289083000000000090e-02 5.504354999999999665e-02 2.000000000000000000e+00 -5.635474000000000160e+03
4.690590000000000037e-01 5.412230999999999570e-01 7.832247228575948961e-02 9.810368000000000421e-01 2.058990999999999637e-09 -4.868428999999999812e-02 5.297845000000000332e-02 2.000000000000000000e+00 -5.639444999999999709e+03
4.392526999999999959e-01 5.636107999999999674e-01 7.162829848120480514e-02 9.698052000000000339e-01 2.188537999999999748e-09 -3.613473999999999853e-02 7.547236999999999696e-02 1.000000000000000000e+00 -5.637916000000000167e+03
5.867626000000000230e-01 4.922973999999999961e-01 9.114184696145308240e-02 9.626036000000000037e-01 2.035753000000000259e-09 -6.595283999999999869e-02 3.972051000000000054e-02 1.000000000000000000e+00 -5.638105999999999767e+03
7.111304999999999987e-01 4.426392000000000104e-01 1.172487273664241797e-01 9.740330999999999850e-01 2.003852999999999987e-09 -1.092743999999999938e-01 3.739347999999999977e-02 3.000000000000000000e+00 -5.644728000000000065e+03
6.672386999999999624e-01 4.560180999999999818e-01 1.107365343836624050e-01 9.761739000000000388e-01 2.020976000000000156e-09 -9.882135999999999698e-02 4.217085000000000278e-02 1.000000000000000000e+00 -5.637190999999999804e+03
4.266358000000000095e-01 5.802490000000000148e-01 6.628769130006463561e-02 9.616523999999999628e-01 2.067942999999999918e-09 -2.489560999999999857e-02 4.977547000000000221e-02 1.000000000000000000e+00 -5.638198999999999614e+03
3.935141999999999807e-01 5.978759999999999630e-01 6.321963611382730441e-02 9.721315999999999846e-01 2.128944999999999828e-09 -2.216082000000000121e-02 6.349907000000000468e-02 4.000000000000000000e+00 -5.632048999999999978e+03
8.172741000000000033e-01 4.098816000000000126e-01 1.380352149190429423e-01 9.796084000000000458e-01 1.944094999999999996e-09 -1.463434999999999875e-01 2.325655999999999904e-02 2.000000000000000000e+00 -5.642176000000000386e+03
