#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.176217E-01 6.707764E+01 2.223556E-02 5.549520E-02 9.614603E-01 2.10985e-09 6.482168E+03
3.246734E-01 6.661865E+01 2.208833E-02 6.214158E-02 9.605333E-01 2.13738e-09 6.485950E+03
3.290925E-01 6.636963E+01 2.213807E-02 8.272123E-02 9.564642E-01 2.24007e-09 6.490300E+03
3.291901E-01 6.634033E+01 2.223170E-02 8.083599E-02 9.563342E-01 2.23017e-09 6.483902E+03
3.193979E-01 6.695557E+01 2.222939E-02 7.091980E-02 9.623466E-01 2.1849e-09 6.478752E+03
3.148280E-01 6.726807E+01 2.209124E-02 7.973402E-02 9.646791E-01 2.21331e-09 6.484516E+03
3.057229E-01 6.788818E+01 2.227551E-02 9.726774E-02 9.685677E-01 2.26827e-09 6.479293E+03
2.911590E-01 6.919189E+01 2.270166E-02 1.024008E-01 9.769768E-01 2.29714e-09 6.482516E+03
3.079419E-01 6.799561E+01 2.267018E-02 8.685105E-02 9.688364E-01 2.22937e-09 6.484496E+03
3.089935E-01 6.784912E+01 2.255529E-02 1.095705E-01 9.669223E-01 2.34463e-09 6.485593E+03
3.098956E-01 6.761963E+01 2.216692E-02 6.990545E-02 9.681498E-01 2.18495e-09 6.486204E+03
3.085120E-01 6.780518E+01 2.246785E-02 8.972062E-02 9.692334E-01 2.23708e-09 6.486407E+03
3.211639E-01 6.681885E+01 2.210331E-02 8.692642E-02 9.590161E-01 2.24141e-09 6.487066E+03
3.344618E-01 6.591553E+01 2.201684E-02 9.454060E-02 9.589259E-01 2.28115e-09 6.485434E+03
3.006645E-01 6.849365E+01 2.263008E-02 6.361496E-02 9.686824E-01 2.15024e-09 6.486729E+03
3.196407E-01 6.691162E+01 2.199236E-02 7.260305E-02 9.652784E-01 2.19152e-09 6.490464E+03
3.138349E-01 6.732178E+01 2.213032E-02 6.182969E-02 9.644129E-01 2.12656e-09 6.475319E+03
3.202797E-01 6.706299E+01 2.237520E-02 9.389859E-02 9.595375E-01 2.30453e-09 6.487800E+03
2.971332E-01 6.869385E+01 2.260755E-02 1.145581E-01 9.763744E-01 2.35732e-09 6.486175E+03
3.030586E-01 6.819580E+01 2.248959E-02 9.114696E-02 9.735515E-01 2.2499e-09 6.481592E+03
3.077730E-01 6.780518E+01 2.239592E-02 8.953914E-02 9.730177E-01 2.2241e-09 6.486539E+03
3.063220E-01 6.786377E+01 2.234171E-02 1.378218E-01 9.689020E-01 2.45096e-09 6.486586E+03
3.225853E-01 6.684326E+01 2.231254E-02 6.428115E-02 9.645891E-01 2.14013e-09 6.482871E+03
3.224086E-01 6.686768E+01 2.228134E-02 7.701282E-02 9.587873E-01 2.20435e-09 6.486558E+03
2.982102E-01 6.844971E+01 2.228499E-02 1.035680E-01 9.700089E-01 2.29542e-09 6.489593E+03
3.101689E-01 6.767334E+01 2.236774E-02 8.813419E-02 9.638009E-01 2.23454e-09 6.479059E+03
3.302551E-01 6.619385E+01 2.203194E-02 5.746899E-02 9.574213E-01 2.11292e-09 6.482053E+03
3.191430E-01 6.699463E+01 2.228571E-02 6.650383E-02 9.623637E-01 2.16739e-09 6.479906E+03
3.022588E-01 6.822510E+01 2.235258E-02 7.122100E-02 9.672626E-01 2.15583e-09 6.484774E+03
3.330549E-01 6.606201E+01 2.212305E-02 5.499442E-02 9.575164E-01 2.10874e-09 6.479546E+03
3.206989E-01 6.696045E+01 2.227977E-02 8.521111E-02 9.616532E-01 2.24439e-09 6.481776E+03
3.181843E-01 6.715088E+01 2.231914E-02 9.041258E-02 9.637783E-01 2.26556e-09 6.483745E+03
3.365103E-01 6.570068E+01 2.184290E-02 5.433098E-02 9.576794E-01 2.12477e-09 6.487693E+03
3.261640E-01 6.642334E+01 2.205158E-02 4.071700E-02 9.642547E-01 2.04718e-09 6.492266E+03
3.142385E-01 6.743408E+01 2.235715E-02 9.026653E-02 9.668034E-01 2.26017e-09 6.483436E+03
3.135980E-01 6.740479E+01 2.225109E-02 6.819502E-02 9.642700E-01 2.17832e-09 6.481836E+03
3.019317E-01 6.836182E+01 2.248942E-02 9.034874E-02 9.660967E-01 2.25527e-09 6.479930E+03
3.097059E-01 6.764404E+01 2.236949E-02 8.899848E-02 9.670941E-01 2.25974e-09 6.485868E+03
3.188151E-01 6.705322E+01 2.231545E-02 6.003951E-02 9.625507E-01 2.13904e-09 6.489793E+03
3.150285E-01 6.720947E+01 2.213341E-02 9.295675E-02 9.656939E-01 2.28098e-09 6.480091E+03
