#code-name		friendly-name
# This file gets used during installation to generate
# the code names for sections.  Other names can be used;
# these are just the ones with friendly long names

#input parameters
COSMOPAR		cosmological_parameters
HALOPAR			halo_model_parameters
IA_PARAMS		intrinsic_alignment_parameters
BARYON_PAR		baryon_parameters
SHEAR_CAL_PAR	shear_calibration_parameters
NZ_PARAMS		number_density_params

#likelihoods
LIKELIHOODS		likelihoods

# source number density
NZ_WL			wl_number_density

# 2-pt and related quantities
PK_NL			matter_power_nl
PK_LIN			matter_power_lin
SHEAR_XI		shear_xi
SHEAR_CL		shear_cl
GAL_CL			galaxy_cl
CMB_CL			cmb_cl
LSS_ACF			lss_autocorrelation
GAL_PK_LIN		gal_matter_power_lin
LIN_TRANSFER	linear_cdm_transfer
SIGMAR_LIN		sigma_r_lin
SIGMAR_NL		sigma_r_nl

#nuisance parameters
PLANCK			planck
IA_FIELD		intrinsic_alignment_field
SHEAR_CAL		shear_calibration

# galaxy bias
BIAS_FIELD		bias_field

#background quantities
DISTANCES		distances
W_OF_A			de_equation_of_state
